Startup Name,Total Funding (M$),Number of Investors,Investor Reputation,Growth Rate (%),Revenue (M$),Market Size,Years Since Founded,Success Score,Industry_AgriTech,Industry_Autonomous Vehicles,Industry_Cybersecurity,Industry_EdTech,Industry_FinTech,Industry_GreenTech,Industry_Healthcare,Industry_Quantum Computing
TechCloudAnalytics,0.1321428641938384,-1.393416814166878,-0.5674255555510956,-1.186611492990954,1.5625529114913996,3,0.8909825737738833,33.56,False,False,False,False,False,True,False,False
QuantumLabNetwork,-1.1019328487093003,-0.20347931274341263,1.6117646085192274,0.32129866905667787,0.6426359588585091,2,0.3820435560051001,76.81,False,False,False,False,False,False,False,False
SmartCloudInc,-1.3308036297205421,0.9864581886800525,0.5637860053117978,0.7808276092347152,-0.573490851720129,1,0.5516898952613611,37.87,False,False,False,True,False,False,False,False
NextGrowthHub,-0.043327058378594,1.4624331892494387,1.607981292262161,-1.0779798861195977,-0.7098630136446351,1,1.3999215915426666,16.49,False,False,False,False,True,False,False,False
GreenGrowthAnalytics,-1.2799821861149387,-1.393416814166878,0.3519202949160721,-0.5343907739577731,-0.12288458102194795,1,0.7213362345176223,95.41,False,False,False,False,False,True,False,False
QuantumCloudInnovations,0.15947071864294202,-1.393416814166878,-1.5813543124449267,0.98472741102103,0.40764053768685404,3,0.5516898952613611,69.37,False,False,True,False,False,False,False,False
SmartSphereSystems,-0.713138348039274,-0.20347931274341263,-0.7982078472321542,-1.1297092227250054,-1.315885937708151,1,0.5516898952613611,37.18,False,False,False,False,True,False,False,False
SmartFinanceInnovations,1.7433708540603698,-0.9174418135974918,0.034121729322483314,-1.3292982464608698,-0.4156936369246905,3,-1.1447734973012498,35.76,False,False,False,False,False,False,False,True
FinDataTech,-0.23127577163059165,0.7484706883953595,0.15897116580567897,1.474000719747177,0.5858425647403233,3,0.212397216748839,59.43,False,False,False,False,True,False,False,False
QuantumDataVentures,0.10572129063207747,-1.393416814166878,0.10600473820674727,0.40708315226064523,0.06517977195623637,1,-0.8054808187887276,72.17,False,False,False,False,False,False,False,True
NextConnectInnovations,-1.1850318346871864,0.5104831881106665,0.5524360565405985,0.2570680761049633,-0.9428179535904874,2,-0.6358344795324664,45.11,False,False,True,False,False,False,False,False
AgriSphereInnovations,-1.5253751648415825,0.03450818754128039,1.2447829315837742,-1.3193834569448333,-0.7292475852897644,3,1.5695679307989276,66.31,False,False,False,True,False,False,False,False
AgriEdgeInc,0.8200100576869618,0.03450818754128039,0.5524360565405985,-0.2744508575155997,1.1037847158900063,3,-1.4840661758137719,7.51,True,False,False,False,False,False,False,False
HyperHealthInc,-0.2985496990371858,0.7484706883953595,1.1918165039848425,0.3467322595543364,-0.2432729733443299,3,0.3820435560051001,24.76,False,False,True,False,False,False,False,False
FinLabInc,0.987184024444488,-1.1554293138821847,0.3632702436872718,-1.562080261185204,-0.13886835062407207,1,0.5516898952613611,11.19,False,False,False,False,False,False,False,True
SmartConnectNetwork,0.13346742856764698,0.7484706883953595,-0.11721092096017817,1.4627926968160052,1.3513631046207806,1,0.5516898952613611,71.23,False,False,False,False,False,False,False,False
InnoGrowthSolutions,0.2765900948533857,-0.4414668130281057,0.8210515107923223,-0.54775418591417,-0.6843569983220966,1,-1.4840661758137719,76.15,False,False,False,False,False,False,False,True
HyperGrowthAnalytics,-1.14466747824323,1.7004206895341316,1.0896669650440463,-0.9283958877689609,0.5603365494177847,3,0.04275087749257791,9.6,False,False,False,False,False,False,False,False
FinFinanceAnalytics,-1.3143511459195512,-0.4414668130281057,-1.0933065152833439,0.49157440204947767,-0.8030449896229761,1,-0.29654180101994426,7.16,False,False,False,False,True,False,False,False
NextDataVentures,-0.9366411576408704,1.7004206895341316,-0.82469106103162,-1.465087755050065,1.4867150259323854,2,0.3820435560051001,75.5,False,False,True,False,False,False,False,False
HyperLabNetwork,1.1203376009694563,-0.9174418135974918,-1.002506925113747,-0.040806687181175604,0.27806997984835813,3,1.2302752522864056,86.55,False,False,False,False,True,False,False,False
QuantumHealthNetwork,-0.8748746294727436,-0.6794543133127987,1.498265120807232,0.04325348480261187,-1.139724391880485,3,-1.4840661758137719,3.7,False,False,False,True,False,False,False,False
NeuroDataNetwork,1.2362021267205023,-1.1554293138821847,0.17032111457687832,1.2407876272177978,-0.05792926200054963,3,-1.3144198365575108,30.91,False,False,False,False,False,True,False,False
NeuroCloudNetwork,-1.7221078313093634,-0.6794543133127987,0.5978358516253965,1.5817701710084429,-1.651205019148458,3,1.5695679307989276,21.32,False,False,True,False,False,False,False,False
AgriFinanceInnovations,-1.5101078175855784,0.7484706883953595,-1.6532373213291907,0.683404025294531,1.24525808087902,3,-1.1447734973012498,71.65,False,False,True,False,False,False,False,False
AgriLabAI,0.8287940109027451,-1.6314043144515709,-1.5964875774731928,0.9588627427183265,-0.7023812491500239,2,-1.3144198365575108,17.17,False,False,False,True,False,False,False,False
TechLabInc,-0.5590705971910119,-1.6314043144515709,-1.2068060029953398,-0.09038063476135783,-0.9662834876872228,2,-1.653712515070033,8.31,False,False,True,False,False,False,False,False
NextGrowthInnovations,0.641960720281323,-0.6794543133127987,1.1199334951005786,-0.5779296322673244,0.2964343108805858,1,1.0606289130301445,41.82,False,False,True,False,False,False,False,False
SmartGrowthInnovations,-0.16170128504843534,0.7484706883953595,0.6886354417949935,1.283464329917259,-0.02494148218339981,2,0.8909825737738833,67.53,False,True,False,False,False,False,False,False
NextGrowthNetwork,-0.057060699517556726,-1.1554293138821847,0.5675693215688646,-1.5258697255614186,1.0997037534384,3,0.3820435560051001,78.18,False,False,False,False,False,False,False,True
GreenSphereNetwork,0.719761448763975,1.2244456889647455,-1.4186717133910658,-0.0533079435274824,1.2544402463951343,3,0.212397216748839,95.54,False,True,False,False,False,False,False,False
AgriLabSolutions,1.6028276026078374,-1.6314043144515709,1.0177839561597823,1.5520258024603335,-0.7799195357305411,2,-0.6358344795324664,18.42,True,False,False,False,False,False,False,False
TechEdgeInc,-0.5183576711750005,0.5104831881106665,-1.6002708937302594,0.45924356667109795,-0.6190615990963978,2,1.2302752522864056,75.54,False,False,True,False,False,False,False,False
InnoLabInc,0.10885841678057182,0.03450818754128039,1.6420311385757598,-1.5573384053297084,-1.223724202342712,2,1.0606289130301445,30.05,False,False,False,False,False,False,True,False
GreenHealthInnovations,0.34002975696737575,-1.393416814166878,0.2422041234611426,-0.19082176333685752,-0.01609939687158651,2,0.3820435560051001,52.67,False,True,False,False,False,False,False,False
NeuroDataSolutions,0.7562218260009164,-1.393416814166878,1.471781907007766,-1.1258295224796,0.3250010480418291,2,0.212397216748839,55.01,False,False,False,False,False,False,False,False
HyperDataNetwork,0.36575419138502674,0.9864581886800525,0.8475347245917878,-1.411634107224477,1.1449344206103682,2,1.3999215915426666,51.88,False,False,False,False,False,True,False,False
SmartAIAnalytics,0.6952918648057217,-0.20347931274341263,-1.448938243447598,0.7622912636177775,0.18284752264421425,2,-1.1447734973012498,14.23,False,False,False,False,False,False,False,True
NeuroHealthNetwork,-0.4024931454239545,-0.4414668130281057,0.7643017669363242,0.5980506198956083,-0.024601401979099363,3,0.8909825737738833,66.77,False,False,False,True,False,False,False,False
TechLabHub,-1.1148299228753311,-1.393416814166878,-1.570004363673727,-0.3998944987837133,-0.03344348729091266,3,1.0606289130301445,50.51,False,False,False,True,False,False,False,False
InnoFinanceSolutions,1.642843389479739,1.4624331892494387,-1.528387884845995,0.25405053146964784,0.0015847737520403268,2,1.3999215915426666,46.77,False,False,False,False,False,False,False,False
QuantumDataAI,-1.4122991956669757,-1.393416814166878,-1.3846218670774668,1.4352037172931216,1.2643025723198489,3,-1.3144198365575108,34.65,False,False,False,False,False,True,False,False
NextSphereVentures,-0.7545484131993951,0.27249568782597344,1.6155479247762947,1.485208742678349,1.4404641181475153,1,-0.6358344795324664,81.54,False,False,False,False,False,True,False,False
GreenHealthSystems,-0.17787491319178228,-0.20347931274341263,0.18545437960514446,-0.25419020067848175,0.7970323716109428,1,-1.1447734973012498,62.74,False,False,False,False,True,False,False,False
TechHealthInnovations,-1.6134238387426483,1.4624331892494387,-0.9760237113142813,-1.0956540761264455,0.1808070414184111,1,-0.8054808187887276,74.66,False,False,False,False,False,False,False,True
NextGrowthTech,0.34246974397176017,0.27249568782597344,-1.6456706888150578,0.2924164561186585,-0.15927316288210297,2,-0.29654180101994426,6.37,False,False,True,False,False,False,False,False
InnoCloudAI,1.494980177014054,-0.20347931274341263,1.1464167089000443,0.9842963332159851,0.5841421637188208,1,-1.653712515070033,63.44,False,False,False,False,False,False,True,False
FinCloudAI,0.6665697320683985,-0.9174418135974918,1.2977493591827052,-1.1689373029841064,1.3020514749972059,1,1.2302752522864056,63.26,False,False,False,True,False,False,False,False
NeuroConnectTech,-0.4874046931765262,0.5104831881106665,0.32543708111660624,-0.5843957993430005,1.0741977381158614,2,0.7213362345176223,4.78,False,True,False,False,False,False,False,False
QuantumEdgeVentures,1.7343777591013536,0.27249568782597344,-0.041544595818847424,-0.40765389927452444,1.272464497223061,2,-0.8054808187887276,7.51,True,False,False,False,False,False,False,False
NeuroConnectHub,-0.3574579567144624,-1.6314043144515709,0.6697188605096609,1.2511334945388792,0.9728538372343085,3,0.3820435560051001,33.2,False,True,False,False,False,False,False,False
GreenConnectNetwork,-0.37551386054690583,-0.9174418135974918,0.23842080720407616,0.9674842988192276,0.008046297633750017,1,-0.9751271580449886,83.78,False,False,False,False,False,False,True,False
FinLabTech,-1.315117998978072,-1.6314043144515709,-1.5397378336171947,0.731253661654533,0.2382805959451979,1,-1.653712515070033,27.12,False,False,True,False,False,False,False,False
NeuroHealthVentures,-1.3991929797577118,-0.20347931274341263,-0.1512607672737769,0.390702195668933,-1.6933749644817218,2,1.2302752522864056,40.21,False,False,False,False,False,False,True,False
TechHealthNetwork,-0.6110074634271907,0.7484706883953595,-1.157622891653475,0.21309813999036673,-0.5517257186448962,3,-0.8054808187887276,38.52,False,False,False,False,True,False,False,False
FinHealthInnovations,-1.0197401436187568,-0.9174418135974918,0.29517055106007395,1.6576398646963741,0.18284752264421425,3,-0.1268954617636832,74.05,False,False,False,False,True,False,False,False
SmartSphereNetwork,0.6353378984122802,-0.9174418135974918,0.6016191678824634,1.0338702807961675,-1.3305093864930733,3,-0.46618814027620536,58.01,False,False,False,False,False,False,True,False
GreenCloudHub,0.593579263680104,-1.6314043144515709,0.4616364663710016,1.3451084560387032,-0.850656218225048,2,1.2302752522864056,37.17,False,False,False,False,True,False,False,False
InnoDataVentures,-0.9213738103848661,-1.1554293138821847,-0.10964428844604493,-1.3693884823300608,-1.564484567051827,2,-0.46618814027620536,52.24,False,False,False,False,False,False,False,False
AgriDataNetwork,-1.2173790909738804,0.5104831881106665,-0.6847083595201582,1.209318947449508,1.312593961330522,3,0.212397216748839,29.0,False,False,False,False,False,False,False,True
NeuroHealthHub,-1.070213017652305,1.7004206895341316,1.5171817020925642,-1.3008471113278957,-1.274736232987789,2,-1.653712515070033,37.23,False,False,False,False,False,False,False,False
HyperSphereInnovations,-0.9257657869927579,0.27249568782597344,-0.7149748895766905,-1.5323358926370945,0.10224851422499227,1,0.8909825737738833,91.9,True,False,False,False,False,False,False,False
QuantumSphereNetwork,-0.19997422406006232,0.03450818754128039,-0.7263248383478901,-1.140486167851132,1.4220997871152874,3,1.0606289130301445,20.55,False,False,False,False,False,False,False,True
TechConnectNetwork,-0.37955726758274266,-0.9174418135974918,-1.0062902413708137,0.09584497701810955,0.4800776212028634,3,1.2302752522864056,41.8,False,False,False,False,True,False,False,False
QuantumFinanceInc,-1.324459663509143,-0.4414668130281057,-1.4375882946763985,-0.9374485216749072,1.6210467066310879,3,1.3999215915426666,62.08,False,True,False,False,False,False,False,False
AgriEdgeAnalytics,-0.6593192061139987,-0.9174418135974918,0.3632702436872718,1.6287576517583549,-0.36060064382800733,1,-0.6358344795324664,18.37,False,False,True,False,False,False,False,False
GreenLabNetwork,0.05657298097233805,0.5104831881106665,1.051833802473381,-0.303333070453619,0.44640968097711264,1,-0.46618814027620536,32.35,False,False,False,False,True,False,False,False
AgriEdgeAI,1.038005468050091,0.5104831881106665,0.5373027915123323,-0.8413181711498581,-1.5933913844173708,1,1.2302752522864056,27.41,False,False,True,False,False,False,False,False
FinFinanceSystems,-0.6525569564161339,0.03450818754128039,-1.0176401901420131,1.6313441185886253,1.0459710811589187,1,1.2302752522864056,24.07,False,False,False,False,False,False,False,False
FinFinanceSolutions,1.2732202152727319,0.5104831881106665,0.662152227995528,-1.4034436289286207,0.2736489371924516,2,-1.4840661758137719,4.36,False,False,False,False,True,False,False,False
AgriGrowthAnalytics,-1.6468168037455069,0.7484706883953595,0.5827025865971308,-1.0219397714637397,1.1854039649221297,2,0.04275087749257791,75.39,False,False,False,False,False,False,True,False
HyperConnectAnalytics,0.8174306428537556,0.27249568782597344,1.1728999226995096,-0.7693281777073326,0.3066367170096014,3,-0.9751271580449886,70.42,False,False,False,True,False,False,False,False
QuantumCloudAnalytics,0.9180278213487973,-1.393416814166878,-0.015061382019381581,0.09972467726351526,0.7752672385357098,2,0.5516898952613611,17.95,False,False,False,False,True,False,False,False
InnoGrowthAI,-0.4785510260463318,1.2244456889647455,-0.2950267850423052,-0.19470146358226323,-1.6478042171054528,1,-0.8054808187887276,98.57,False,False,True,False,False,False,False,False
InnoLabAI,1.2900909825601887,0.5104831881106665,-1.1841061054529407,-0.9857292358399543,1.0058416170514584,3,0.3820435560051001,46.59,False,False,False,False,False,False,False,True
QuantumFinanceSystems,-1.3129568676313317,0.27249568782597344,0.28003728603180783,-0.7947617682049913,0.176726078966805,2,0.7213362345176223,93.81,False,False,False,False,False,True,False,False
InnoEdgeAI,0.8089952592100274,0.7484706883953595,-1.6040542099873258,0.9153238844087749,0.7470405815787672,3,-1.653712515070033,54.92,False,False,False,False,False,False,False,False
TechEdgeInnovations,-1.5027878565724258,-0.6794543133127987,1.5133983858354978,0.3144014241759567,-1.225764683568515,3,-0.1268954617636832,56.91,False,False,True,False,False,False,False,False
NextHealthNetwork,-0.8784997530221146,-1.1554293138821847,-1.1614062079105414,-0.03175405327522924,-1.4236913624714143,1,-1.3144198365575108,18.49,False,False,True,False,False,False,False,False
NeuroEdgeAnalytics,0.7012872614450655,0.03450818754128039,-1.1046564640545433,-1.5129373914100668,1.2955899511154962,3,-0.8054808187887276,24.08,False,False,False,False,False,True,False,False
SmartFinanceNetwork,1.2666671073181,0.27249568782597344,0.2005876446334106,-1.1870425707959988,-0.3959689850752608,1,0.7213362345176223,76.13,False,False,False,False,True,False,False,False
AgriConnectInc,-1.4704406002857318,-0.20347931274341263,-0.7376747871190895,-0.6253481908222814,1.4754923791904684,2,-0.29654180101994426,28.16,False,False,False,False,False,False,False,False
FinHealthTech,1.5936253659055883,0.9864581886800525,0.5070362614558,0.3105217239305513,-0.05180781832314039,3,0.3820435560051001,45.2,False,False,False,False,False,False,False,False
NeuroDataAnalytics,0.3202310052746581,-0.20347931274341263,-0.7149748895766905,-1.5797544511920516,0.3518673841815697,1,-1.4840661758137719,98.02,False,False,False,False,False,False,False,False
HyperLabAnalytics,1.0066342065651508,-1.1554293138821847,0.04925499435074947,1.0028326788329227,-0.8799031157948922,3,-0.9751271580449886,35.17,False,False,True,False,False,False,False,False
TechAINetwork,0.6643388868072473,0.27249568782597344,-0.08316107464657942,1.254151039174195,0.46953513486954734,3,-0.6358344795324664,71.65,False,False,False,False,True,False,False,False
TechLabAnalytics,0.12809945715800178,-0.6794543133127987,0.9232010497331186,0.33293776979289436,1.6295487117386007,1,-1.3144198365575108,34.99,False,False,False,False,False,False,False,False
AgriFinanceAI,0.04486104335129364,1.7004206895341316,-0.8625242236022852,-0.21927289846983186,-1.3386713113962858,2,-0.46618814027620536,99.27,False,False,False,False,False,True,False,False
HyperConnectVentures,-1.3912455935148604,-1.1554293138821847,-0.6884916757772247,-0.5085261056550693,0.3766932390955071,1,1.3999215915426666,11.76,False,False,False,False,False,False,True,False
QuantumDataInc,1.5202166140308282,0.27249568782597344,-0.3366432638700371,-0.9671928902230167,1.2639624921155481,3,-1.653712515070033,96.84,False,False,True,False,False,False,False,False
InnoAIHub,-0.3024536782442006,-0.9174418135974918,0.6470189629672618,1.1325870981514867,0.6069275374069553,1,-1.3144198365575108,86.95,False,False,False,False,False,True,False,False
InnoSphereNetwork,1.0891754812277492,0.7484706883953595,-0.783074582203888,-0.8680449950626521,-0.9149313768378452,3,-0.9751271580449886,9.32,False,False,False,False,False,False,False,True
FinFinanceAI,1.135326092567817,-1.1554293138821847,0.5259528427411326,0.5687373291525439,1.4904559081796909,2,-0.46618814027620536,86.82,False,False,False,True,False,False,False,False
TechAIVentures,0.32050986093230177,0.9864581886800525,0.20815427714754386,1.052406626413105,-1.649844698331256,3,-1.3144198365575108,79.0,False,True,False,False,False,False,False,False
FinHealthVentures,1.4125783301802777,-0.9174418135974918,-1.5662210474166607,0.5040756583957845,1.3989743332228528,3,0.3820435560051001,40.05,True,False,False,False,False,False,False,False
NeuroFinanceTech,-0.11081012752842108,0.9864581886800525,0.7189019718515257,-1.4129273406396121,0.25834532799892834,1,-0.8054808187887276,67.38,False,False,True,False,False,False,False,False
NeuroConnectAI,0.3713313045379051,1.4624331892494387,-0.17396066481617597,-0.47016018100605855,0.5593163088048831,1,-1.653712515070033,53.8,True,False,False,False,False,False,False,False
FinCloudHub,-0.47771445907340004,-0.6794543133127987,0.1514045332915457,0.6402962447900247,-1.62603908403022,1,1.2302752522864056,87.84,False,False,False,False,False,False,False,False
InnoHealthHub,-1.0912666198044203,1.7004206895341316,-1.4565048759617312,0.21094275096514153,-1.2737159923748873,3,-0.8054808187887276,8.22,False,False,False,False,False,True,False,False
NeuroAITech,0.22702350170718003,0.03450818754128039,1.691214249917625,1.2127675698898686,0.4032194950309473,2,-0.6358344795324664,8.23,False,False,False,False,False,True,False,False
SmartSphereVentures,-0.6639203244651233,1.2244456889647455,0.98751742610325,-0.8292479926085964,1.1578574683737881,2,-0.1268954617636832,74.49,False,False,False,False,False,False,True,False
SmartLabVentures,-0.4507351741963514,0.5104831881106665,-0.48419259789563185,-1.378010038430962,-1.4723228316863877,2,-0.1268954617636832,25.98,False,False,False,True,False,False,False,False
