Startup Name,Industry,Total Funding (M$),Number of Investors,Investor Reputation,Growth Rate (%),Revenue (M$),Market Size,Years Since Founded,Success Score
GreenGrowthAI,AgriTech,318.77,15,6.13,38.37,35.84,Medium,12,11.12
NeuroAINetwork,Cybersecurity,338.1,2,9.88,36.16,33.75,Medium,4,38.29
GreenHealthAI,Cybersecurity,245.87,14,2.78,29.04,72.17,Small,11,46.57
GreenEdgeVentures,FinTech,253.65,10,4.11,76.62,56.73,Small,2,14.17
FinSphereTech,GreenTech,367.63,12,9.66,49.89,21.06,Medium,13,17.85
GreenFinanceInc,GreenTech,93.36,15,3.26,11.68,3.18,Small,14,36.69
AgriFinanceTech,Quantum Computing,83.63,10,4.36,18.62,86.79,Small,16,34.24
InnoSphereHub,AgriTech,495.18,14,4.86,75.96,66.82,Medium,11,82.58
NextConnectSystems,Cybersecurity,323.98,2,3.6,36.54,40.43,Medium,17,19.85
TechLabSolutions,Cybersecurity,77.27,1,8.14,50.11,66.99,Medium,20,1.21
NextAIHub,EdTech,421.09,13,9.21,33.82,0.5,Medium,5,29.45
GreenSphereInnovations,FinTech,239.99,7,1.21,47.24,71.13,Medium,2,34.2
InnoConnectNetwork,Quantum Computing,121.48,1,3.47,1.98,66.92,Large,17,7.63
GreenLabHub,Autonomous Vehicles,481.84,8,6.89,70.22,20.14,Small,5,66.82
AgriAISystems,Healthcare,97.62,8,9.54,75.1,8.03,Medium,1,29.59
NeuroAINetwork,AI,169.89,4,6.35,41.83,8.23,Medium,16,99.88
InnoCloudInnovations,AI,288.55,1,2.98,78.85,91.12,Medium,19,82.65
QuantumEdgeAnalytics,FinTech,302.34,12,3.85,55.39,0.39,Large,8,22.68
GreenSphereTech,Quantum Computing,360.74,5,4.76,38.29,36.92,Large,17,66.4
GreenDataHub,Quantum Computing,446.24,15,7.43,72.41,5.9,Large,13,92.56
InnoEdgeAI,Healthcare,213.57,11,3.13,59.25,79.59,Medium,6,66.81
